influence.1.1		influence.1.2		influence.1.3		influence.2.1		influence.2.2		influence.2.3		influence.3.1		influence.3.2		influence.3.3		
0.000000000000000000e+00 9.592855659748849462e+00 9.900154156896713076e+00 9.972315452268238900e+00 0.000000000000000000e+00 6.400996094649113756e-11 9.242067114203345923e+00 9.787284223862684485e+00 0.000000000000000000e+00
0.000000000000000000e+00 9.656460562830224248e+00 9.675104669663022960e+00 8.450460165572582838e+00 0.000000000000000000e+00 8.725171613337251245e-11 9.182572235093065416e+00 9.662449232458772741e+00 0.000000000000000000e+00
0.000000000000000000e+00 9.697578549809644954e+00 8.509399480487166656e+00 9.643315254501402478e+00 0.000000000000000000e+00 2.481840353662898626e-11 9.394605245990636178e+00 8.804961978520905674e+00 0.000000000000000000e+00
0.000000000000000000e+00 9.573148490098883912e+00 8.712467360961168694e+00 9.522044891346045148e+00 0.000000000000000000e+00 3.407516284584513439e-11 8.229246011313207987e+00 8.893389722981051904e+00 0.000000000000000000e+00
0.000000000000000000e+00 9.948087196069600679e+00 8.716608121957751365e+00 6.023118546318609212e+00 0.000000000000000000e+00 2.302376296566562235e-11 9.030946510968762553e+00 9.831599279627184274e+00 0.000000000000000000e+00
0.000000000000000000e+00 9.129832986677167028e+00 9.553788333090944107e+00 6.250959736174007908e+00 0.000000000000000000e+00 7.097401669095663817e-11 9.570302764188514999e+00 9.500972666904422326e+00 0.000000000000000000e+00
0.000000000000000000e+00 9.650547494535887338e+00 9.981155635566274498e+00 2.924477353651293576e+00 0.000000000000000000e+00 5.098147036857680146e-11 9.483655214156391011e+00 9.323939321501597988e+00 0.000000000000000000e+00
0.000000000000000000e+00 9.212794642470715445e+00 9.661206401851250902e+00 1.663612511630168100e+00 0.000000000000000000e+00 2.709323931768635841e-11 9.611756952124402176e+00 7.804168477667798420e+00 0.000000000000000000e+00
0.000000000000000000e+00 9.802113909026470395e+00 7.811685299040949992e+00 5.204212127669568311e+00 0.000000000000000000e+00 6.724384343029613042e-11 9.899787827147051189e+00 8.361922116229560942e+00 0.000000000000000000e+00
0.000000000000000000e+00 9.177096846744762004e+00 9.980811595320906449e+00 3.399340173696221434e+00 0.000000000000000000e+00 1.546607050034006417e-11 9.988114273526623066e+00 7.160206030984652692e+00 0.000000000000000000e+00
0.000000000000000000e+00 9.015677949779414391e+00 9.850635108482020286e+00 1.144524539583983147e+00 0.000000000000000000e+00 1.963171357362050084e-11 9.823065460439499574e+00 7.268005413083993282e+00 0.000000000000000000e+00
0.000000000000000000e+00 8.410313266370920360e+00 9.781854911841532996e+00 2.495836172309802148e+00 0.000000000000000000e+00 2.140912793669550806e-10 9.566339652915978320e+00 7.926912653562049549e+00 0.000000000000000000e+00
0.000000000000000000e+00 9.886813786236089641e+00 9.761982757746038075e+00 7.764796194325622736e+00 0.000000000000000000e+00 8.648643909877403378e-11 9.492165311897400315e+00 9.627473267856704098e+00 0.000000000000000000e+00
0.000000000000000000e+00 9.308366974035138242e+00 9.447668605305292289e+00 8.189913538457187059e+00 0.000000000000000000e+00 1.074979964219228297e-10 9.878006897688960564e+00 9.634875742881686023e+00 0.000000000000000000e+00
0.000000000000000000e+00 9.218909861225309754e+00 8.573574720703433627e+00 8.932749824224805124e+00 0.000000000000000000e+00 2.606544527853487914e-09 9.289243395455169860e+00 9.434984724836660064e+00 0.000000000000000000e+00
