log.prior	log.likelihood	log.likelihood.test.set
-7.339637471233587576e+02 -6.032998623421854063e+02 -1.889378158968662547e+01
-7.385957436392333193e+02 -6.032403245799175693e+02 -1.904523773012590482e+01
-7.178553454918488796e+02 -6.058686095210800886e+02 -1.912709814851615420e+01
-7.122677914178493666e+02 -6.083475192447604059e+02 -1.870868584448652427e+01
-7.188790682269141143e+02 -6.002887393658079418e+02 -1.876039800993572726e+01
-7.131869500465116971e+02 -6.010647791744590904e+02 -1.918328174268299335e+01
-7.109551108879215917e+02 -6.037502408377317806e+02 -1.866399340100110749e+01
-7.140394443557261184e+02 -6.091306145758248931e+02 -1.872183447273539514e+01
-7.187106234278082866e+02 -6.062532164376905257e+02 -1.932455174658667829e+01
-7.204744102237750667e+02 -6.036196492729973215e+02 -1.859419253855855914e+01
-7.079512678545701192e+02 -6.070844128972910312e+02 -1.848833275172364665e+01
-7.097205395505844763e+02 -6.051459975724820879e+02 -1.861201062661677952e+01
-7.120165508093668905e+02 -5.994104739743520440e+02 -1.876948123056814666e+01
-7.128931330316487447e+02 -5.977310143941324441e+02 -1.842429436145857835e+01
-7.178449597039684704e+02 -6.047930200774437708e+02 -1.885793046263660244e+01
-7.200476933436643776e+02 -6.014399574584780339e+02 -1.936524889975083852e+01
-7.124748854933885696e+02 -6.027215028425849823e+02 -1.882009744415950081e+01
-7.091743975726941471e+02 -6.023660921501118537e+02 -1.886642262407366388e+01
-7.043335819974250853e+02 -6.043921013577707981e+02 -1.871849972772508863e+01
-7.059895330404043534e+02 -6.037028480372778176e+02 -1.828453100670128606e+01
-6.991914232302539176e+02 -6.009919994632994076e+02 -1.891622131167400767e+01
-6.964822418442485059e+02 -6.014298211773567573e+02 -1.890507330857087709e+01
-6.992709291106716591e+02 -5.991467545559546579e+02 -1.900678723126162595e+01
-6.978044943684080863e+02 -6.050891599441443987e+02 -1.825256904431213911e+01
-7.075782937920131417e+02 -6.018482064229469870e+02 -1.873192461348116922e+01
-6.930199061341078277e+02 -6.105627188936466609e+02 -1.903414021472428885e+01
-7.005424218460730117e+02 -6.042225448060503368e+02 -1.868378258150181637e+01
-6.968438368903787250e+02 -6.050200723685986759e+02 -1.874858742000952816e+01
-6.950159142381803576e+02 -6.034214529516664243e+02 -1.871454671746619169e+01
-7.121067895839614721e+02 -6.035534924670141663e+02 -1.866940837921703178e+01
-7.073169311123177749e+02 -6.053472234289561129e+02 -1.832432122631655602e+01
-7.039671748799228226e+02 -6.032267869804347811e+02 -1.863562289692265495e+01
-7.107352480970851047e+02 -6.070233698981861608e+02 -1.849581842495271644e+01
-7.110719437497672288e+02 -6.098334526780211036e+02 -1.867901679243374247e+01
-7.159973026048655811e+02 -6.018907002391083552e+02 -1.878649441508326845e+01
-7.088155409760581733e+02 -6.053667774036775882e+02 -1.868288851723457356e+01
-7.059040039401107833e+02 -6.106984986868462784e+02 -1.901170143680292313e+01
-7.034763915167673076e+02 -6.104223342957960767e+02 -1.930618769185326755e+01
-7.046109275450985479e+02 -6.036034662868810301e+02 -1.884860641201794351e+01
-7.059501877461611912e+02 -6.067695073950359301e+02 -1.893262487265252503e+01
-7.092684406945110140e+02 -6.010722580871474747e+02 -1.882451635099130272e+01
-7.016372458146339568e+02 -6.008314917298600903e+02 -1.882251587542913285e+01
-6.985035330886404381e+02 -6.125301328581970211e+02 -1.960460596534244360e+01
-7.039691722156881042e+02 -6.050193464077156023e+02 -1.855564558839068923e+01
-6.985113218721443218e+02 -6.060422292726651676e+02 -1.852545412966981075e+01
-7.036654131278241948e+02 -6.087515016447778180e+02 -1.956231163242944149e+01
-7.040876567487481452e+02 -6.075452305125230623e+02 -2.028431561136858363e+01
-7.020114964641453525e+02 -6.076100168597572520e+02 -1.897542392322412752e+01
-7.113992769471951760e+02 -6.043516504204867488e+02 -1.898599246512515037e+01
-7.103768541419666462e+02 -6.003181499750635339e+02 -1.880605658218559029e+01
-7.001841078136445731e+02 -6.011582795153479992e+02 -1.892133477613685955e+01
-7.068185779451224562e+02 -6.019646076916519633e+02 -1.900595353285962119e+01
-7.095842412915965269e+02 -5.990788437108508333e+02 -1.895629081350409706e+01
-7.063505116845135490e+02 -5.980824799086828989e+02 -1.903924266066360360e+01
-6.955691185951876605e+02 -6.052701506523796979e+02 -1.856736480278004819e+01
-6.906247302144882951e+02 -6.102609127613742430e+02 -1.878840060276070290e+01
