time.decay.1	time.decay.2	time.decay.3	
1.216247100342988716e+02 1.069537873230808600e+02 8.872564695771154675e+01
1.098099109927191961e+02 1.145855768509197077e+02 9.687806049370749406e+01
1.023667102144688812e+02 9.866556257781250849e+01 1.027554266245108607e+02
1.083511467065455633e+02 8.996799198956443888e+01 1.219909343310856542e+02
1.039804295113426633e+02 1.282701574899714387e+02 1.206511327657812274e+02
1.057565790842222384e+02 1.246879364920131508e+02 9.077290699142326957e+01
9.071468320629328730e+01 1.275747234320475627e+02 9.820577828438140955e+01
8.851746888914537692e+01 8.497837805637475128e+01 1.023958881050599103e+02
9.281806454025989694e+01 9.173611452331918770e+01 1.032820350093059005e+02
9.554513577461062823e+01 1.146392482510148625e+02 9.741431080347787486e+01
9.480720729022638693e+01 9.590254146432512528e+01 1.064657885270523963e+02
1.029583106425216528e+02 9.232105739673662015e+01 9.659680595576514861e+01
1.194063288825766449e+02 9.694161583611634114e+01 9.409360063016546860e+01
8.473957829826593979e+01 9.344683355490673193e+01 1.198076259802780044e+02
8.878072453692250576e+01 1.028423791014954674e+02 1.095811961349925525e+02
1.056756377132943072e+02 9.648255420900038359e+01 8.531261175447140488e+01
1.135410521183531500e+02 1.165624716199099851e+02 9.282087055776143814e+01
9.873755036877753355e+01 1.037468287652443308e+02 9.181591985176660842e+01
9.224140824381282755e+01 1.109781377084477612e+02 9.093996419972239664e+01
9.320151513327159876e+01 1.044774828892303731e+02 1.163042119226384585e+02
1.033226307487477271e+02 1.014163754933006487e+02 8.962577392631764894e+01
1.032681310311124605e+02 9.263299321539665243e+01 9.037074168713662914e+01
1.014214684923075396e+02 8.908574777416571067e+01 8.564490187653558451e+01
9.369231625968741639e+01 1.022626639550591250e+02 1.211294183282538341e+02
9.169742499491795229e+01 9.938614463004444133e+01 1.106588718931631092e+02
1.121672631533226081e+02 1.129953063608722914e+02 8.960735445411857825e+01
1.006283467369774485e+02 1.077913126958738701e+02 1.080349698478499931e+02
1.000052792022986949e+02 1.003052499071590660e+02 9.642028472307814013e+01
9.236755158770968421e+01 1.171043401314570929e+02 1.071314455990154215e+02
9.485484082462122046e+01 1.131150183328464465e+02 1.016684909213916512e+02
1.086986836837568404e+02 1.212352739257012786e+02 1.093519051536246991e+02
1.098950275591622869e+02 1.034489999347553066e+02 9.059006083630498551e+01
8.787624939486276787e+01 9.500629257482530932e+01 9.659393747862861801e+01
9.149596290238993390e+01 9.672791933941343245e+01 1.067380056676214792e+02
1.139638836816374550e+02 9.336276205216108792e+01 1.156217494474619798e+02
9.184177811788433132e+01 1.055644873218463147e+02 1.063865477443341234e+02
9.316904190234329519e+01 1.172399392460759202e+02 1.051550905015585045e+02
1.172205560370087198e+02 1.115365366818766546e+02 1.032773974894646756e+02
9.746342260810814651e+01 1.038743120942668554e+02 9.690167755384939596e+01
1.151163467216817224e+02 8.993069031221585874e+01 1.080858042444642990e+02
1.067471531367295228e+02 1.197577871958320372e+02 9.758969391658460779e+01
9.446938965509947650e+01 9.395217966966509948e+01 9.550093154786102900e+01
8.388233272099068927e+01 8.506348062634141627e+01 1.115136016000284229e+02
8.328979471664399625e+01 1.158247558453791441e+02 1.196876689245387979e+02
1.106659219620670882e+02 9.792034873610295165e+01 1.190489498777049562e+02
1.034311605300444512e+02 9.458184125284452648e+01 1.086792876048896090e+02
1.055421316687664302e+02 1.018620032307856889e+02 8.878605620632484374e+01
9.566095639538518469e+01 1.095010708209852766e+02 8.503794935844342717e+01
9.222487397902344242e+01 9.225382378659247706e+01 8.132078009864103763e+01
1.051147173148881109e+02 1.105433019373330126e+02 1.033485259604710507e+02
1.120069942828427259e+02 1.011129219751561266e+02 1.075982954888035010e+02
9.313613495796040809e+01 1.081739100668363847e+02 9.158964929199935057e+01
9.728203923301619227e+01 1.036563796669626925e+02 9.801613081401720251e+01
1.145140061263893330e+02 1.016058267170906220e+02 9.948168419839163334e+01
1.106882924261794443e+02 9.763166672256224388e+01 1.101140222973227338e+02
9.042809935170552649e+01 1.066164339803702319e+02 1.126152010351553088e+02
1.087541882086615033e+02 1.076997249467513882e+02 1.051279971767316255e+02
1.011817014322361103e+02 9.434715519121711225e+01 1.111743645912974614e+02
9.800406451567681643e+01 9.762625522075535400e+01 1.058242075999495313e+02
1.019574748105094955e+02 1.148357630318877085e+02 1.004793979545153206e+02
9.735211095757318844e+01 1.181591258793101247e+02 1.088404177049684449e+02
1.106672061250715871e+02 9.453966840102025060e+01 9.794761985974149354e+01
1.105515245129706443e+02 1.001882033984153111e+02 1.117513483404068353e+02
1.101898986671719172e+02 1.022984790819709247e+02 9.539153886286320017e+01
9.303592531129294230e+01 1.032202789353152070e+02 1.026361242549536712e+02
1.002969646454492647e+02 9.071330909172138490e+01 9.462465161027085969e+01
1.016215062094536137e+02 9.061705938851648057e+01 1.036124156593828616e+02
1.115911990020718747e+02 9.439389514832330974e+01 8.916969241929939471e+01
1.119529032870276808e+02 1.107167355682438767e+02 1.087434142627475779e+02
1.123375301724009461e+02 9.695465007945352909e+01 1.151449949702183915e+02
9.284201739909175899e+01 1.023353729772601497e+02 1.084393339108050327e+02
9.713386709082074333e+01 1.038242816703200333e+02 1.123742118615855503e+02
9.591644638039210236e+01 9.771490964471344398e+01 9.963015409912483733e+01
9.826408011558181954e+01 1.242456605078554333e+02 1.081515443747368863e+02
1.023556046414001202e+02 9.394381995508319960e+01 9.647363206956330828e+01
1.039605937040436459e+02 8.662188194979346179e+01 1.112862512275725635e+02
1.097352873269248335e+02 1.078402802793304147e+02 1.122329800246379250e+02
1.031953542957104872e+02 1.066976599712869245e+02 1.073640786479968483e+02
1.039131840008981413e+02 9.985837854289803772e+01 1.169118238051729151e+02
1.063835618774474199e+02 1.111009703664738026e+02 1.109334074885406949e+02
9.984461002411451602e+01 1.089899008090669525e+02 1.111399807836289000e+02
9.520815469054311109e+01 1.094983141683453596e+02 1.180656223354810521e+02
1.088840321624922751e+02 8.945282083590721811e+01 1.190787584293504295e+02
1.164415889632532526e+02 9.655036575483794081e+01 1.102067147587516445e+02
8.473739390661486937e+01 9.549108552221700563e+01 1.088488809888797277e+02
8.747123373859096773e+01 1.006161078572586973e+02 1.146813221764834765e+02
8.755854969401470100e+01 9.307403888009244497e+01 9.796131985066995185e+01
9.196245784381208921e+01 9.380315702833088665e+01 1.139421884768171651e+02
1.241286524997261722e+02 9.537484761104740016e+01 9.053141338768672597e+01
9.085854368894749200e+01 9.325508614849202615e+01 9.391678143082364727e+01
1.135553581454946510e+02 1.016087723454786698e+02 1.164763727408328720e+02
8.892936933365776042e+01 1.044446808206335362e+02 8.783899638859193715e+01
9.520225532468128904e+01 1.025605670737395485e+02 9.326710371296239543e+01
1.088638695879268568e+02 1.001183708117833930e+02 1.019451060106307949e+02
1.122535371730140810e+02 1.012146354328544788e+02 9.308018498780297989e+01
1.128242853222864426e+02 9.894616322923222640e+01 1.008184833748328941e+02
1.094739682112247436e+02 9.664892187413911984e+01 1.039363988063157649e+02
9.749386456390716660e+01 1.072614655827741359e+02 1.077543689871700963e+02
1.070094936366767797e+02 1.172089097358001624e+02 1.043142376029382774e+02
9.411312302112830253e+01 1.130807279903970937e+02 1.026173105344012413e+02
1.016055885374661756e+02 1.064095469210211746e+02 1.039644212903869516e+02
1.063914282988371269e+02 1.029820201879581987e+02 1.202701286164094370e+02
1.016342284545268200e+02 1.060617098535444285e+02 1.098973569649601956e+02
1.018036747707544407e+02 9.798874252279814812e+01 9.993765415766171145e+01
1.045019289447899382e+02 9.952523109846748639e+01 9.999931390357394889e+01
1.064979267963941538e+02 1.062436299361425398e+02 1.048201326094223873e+02
9.014105858042279351e+01 1.012411407709895030e+02 1.032029804803622426e+02
1.153599208178034417e+02 9.902831964353549665e+01 1.168170323162890156e+02
