word.concentration.1	word.concentration.2	word.concentration.3	
4.089324940046081380e+00 8.514845521486092750e+00 5.396164842022398211e+00
5.013000199496405074e+00 5.611961904684255487e+00 3.048613037852730301e+00
4.336594191261497144e+00 7.850889450319998630e+00 5.480681541878493768e+00
4.730579591742469781e+00 9.542265354464593230e+00 5.876177614034658880e+00
3.115280490605632835e+00 6.690052936383589000e+00 5.918014208877103499e+00
4.128730729496498775e+00 4.715460577169115375e+00 3.185080087027629681e+00
2.996916248668587190e+00 5.931362372814179551e+00 7.829868102935267693e+00
5.648117328556069516e+00 5.909537629163255090e+00 4.949763816385102544e+00
4.743831648711055671e+00 7.190461569363465699e+00 6.258318348429152245e+00
2.102022972879409757e+00 9.164362696513931539e+00 6.183061407642139073e+00
4.118524777488769217e+00 9.125637385607070939e+00 5.858964930530779824e+00
3.843570131641021792e+00 5.845113911972077858e+00 5.714772444493039671e+00
3.659910143799785409e+00 9.574756532047643987e+00 3.796203541729713304e+00
3.118175609794147984e+00 8.812832665090095219e+00 4.001888836232492253e+00
3.423696710805515409e+00 8.197320549892779695e+00 6.427428381072844310e+00
3.743515304307269975e+00 7.606285636476144418e+00 3.455045612056278692e+00
3.132064692425754693e+00 7.404691241427788562e+00 6.742426479559639141e+00
3.109706208573642439e+00 5.478787485414661873e+00 5.326085387300976137e+00
4.922116455782453492e+00 4.030643241095051010e+00 4.864501379003453252e+00
3.993244696765448687e+00 4.461121662040580027e+00 5.033624389504181451e+00
2.990408070658810313e+00 8.503630991296796893e+00 4.028950173755010411e+00
3.157478875725325818e+00 6.763806868492007851e+00 4.357750651402830577e+00
2.943191481212458438e+00 4.236051465560263019e+00 4.514724446559806204e+00
4.913772252865607371e+00 9.939117285630867826e+00 8.265401813403808973e+00
4.352299809723207957e+00 9.913770205266798641e+00 4.495518083009144128e+00
5.745991686533145071e+00 9.840971440700403861e+00 4.876530746681282835e+00
2.633071568280093366e+00 6.898368297010575745e+00 4.602647989638123605e+00
4.175130916976367956e+00 5.856902948845409185e+00 5.194880442714053359e+00
4.128071058049895825e+00 9.132605135639456861e+00 4.517615246926407480e+00
4.259320824414265516e+00 9.294551845498066456e+00 3.775099488816509030e+00
4.244712583824722607e+00 8.353849488986298866e+00 5.876349452828765862e+00
3.273086688939242705e+00 7.458370205471638315e+00 6.440605906166669392e+00
2.778793101502060825e+00 5.687958707838167705e+00 8.354489102706670778e+00
2.144377778353082409e+00 8.520131252144622636e+00 8.710735488260606729e+00
2.128340336355650564e+00 7.825994840147123099e+00 3.896106981694939186e+00
2.825266353193297331e+00 8.366696973228075151e+00 4.393318191474641310e+00
3.610181491969366885e+00 6.703150748274628867e+00 5.294180588702340096e+00
3.326666636323937443e+00 8.184214623496542274e+00 5.388182674259817340e+00
3.512923192338425871e+00 8.451033699912814612e+00 3.523568349486026374e+00
4.252530516817413897e+00 9.885161236502327142e+00 3.702565661370119887e+00
4.402037727424479741e+00 6.582513619268443250e+00 3.601640387689827971e+00
4.742164589512563033e+00 6.368581783414981601e+00 3.289644208796711489e+00
5.220328094391981644e+00 7.605944599358291924e+00 5.194687852125949412e+00
4.602385033595987274e+00 7.637003131781209930e+00 3.707412285359217741e+00
4.933016169876873747e+00 5.748568699373838520e+00 3.727624605105469335e+00
2.851851014669897211e+00 7.008798392956951062e+00 6.020113573619699565e+00
4.849156028257318951e+00 6.032293656596946718e+00 2.542824727775697013e+00
4.416523839716422373e+00 7.723358944413337923e+00 7.842646409439671729e+00
3.461446319168478780e+00 7.592327773652515432e+00 5.556694086050511849e+00
2.683890837288243958e+00 7.275370933417818264e+00 3.158990356656530274e+00
3.031683540632941654e+00 8.368061177519333427e+00 3.704715797648215236e+00
2.316629819550417579e+00 8.785112966002294854e+00 2.900193934685449726e+00
3.226106601333063484e+00 8.822656794647416589e+00 2.558867353191077054e+00
3.087057020826594833e+00 6.529200711731506956e+00 2.890341417804031643e+00
2.950545689064750121e+00 7.512758757301086554e+00 6.051212109061263611e+00
3.358681227517782641e+00 7.211652060714974333e+00 6.694284640938888309e+00
3.060351238101997495e+00 8.381042447185702571e+00 5.550368487631178738e+00
2.936598723242994424e+00 5.344340422378785149e+00 3.227604660070319653e+00
3.697835817768240663e+00 6.200513097440834009e+00 5.668572695686300733e+00
3.321394395483724615e+00 7.520218763547994456e+00 5.354783011418208893e+00
2.810697355555692223e+00 8.396041340410558718e+00 6.203150803441086936e+00
5.383554152318085428e+00 8.990130223142253740e+00 5.012264502774220531e+00
5.763462347253461182e+00 7.248795769442981651e+00 4.704917214386023616e+00
5.356533540889729217e+00 7.300284656267711725e+00 8.263292437470580509e+00
2.132014662954014206e+00 5.760887537449198348e+00 5.724950953453165070e+00
5.492695420700502318e+00 7.172033533926851057e+00 4.287971475193194770e+00
4.531195861816118331e+00 8.352447119196034109e+00 3.774271906043961344e+00
5.523351407665779256e+00 7.290537115360205433e+00 4.560480837504346852e+00
3.162596341181502790e+00 6.687131135847172558e+00 4.366806459591616729e+00
3.473207438549517967e+00 7.675616262906546083e+00 8.250108058755143858e+00
7.690165290385427177e+00 4.862238724555640879e+00 5.495959286151530065e+00
6.635563391213348261e+00 8.077456679824813079e+00 4.718769382433569248e+00
