word.1	word.2	word.3	word.4	word.5	word.6	word.7	word.8	word.9	word.10	word.11	word.12	word.13	word.14	word.15	word.16	word.17	word.18	word.19	word.20	word.21	word.22	word.23	word.24	word.25	word.26	word.27	word.28	word.29	word.30	word.31	word.32	word.33	word.34	word.35	word.36	word.37	word.38	word.39	word.40	word.41	word.42	word.43	word.44	word.45	word.46	word.47	word.48	word.49	word.50	word.51	word.52	word.53	word.54	word.55	word.56	word.57	word.58	word.59	word.60	word.61	word.62	word.63	word.64	word.65	word.66	word.67	word.68	word.69	word.70	word.71	word.72	word.73	word.74	word.75	word.76	word.77	word.78	word.79	word.80	word.81	word.82	word.83	word.84	word.85	word.86	word.87	word.88	word.89	word.90	
0.0137321 0.0139392 0.0155487 0.0146807 0.0110388 0.0109816 0.0111508 0.0111383 0.0110601 0.0106559 0.0113758 0.0110057 0.0108954 0.0108122 0.0110795 0.0109848 0.0109495 0.0109814 0.0104351 0.0109664 0.0104944 0.0112022 0.0107201 0.0111378 0.0111080 0.0107450 0.0111980 0.0113009 0.0104487 0.0109538 0.0108409 0.0110082 0.0110062 0.0105694 0.0111454 0.0106634 0.0106933 0.0109146 0.0103993 0.0113880 0.0111129 0.0107648 0.0109056 0.0112080 0.0110654 0.0109557 0.0113239 0.0109059 0.0109324 0.0110568 0.0109881 0.0106973 0.0105576 0.0112514 0.0119369 0.0105314 0.0106888 0.0109171 0.0110459 0.0104720 0.0109744 0.0113442 0.0107760 0.0106257 0.0108695 0.0113588 0.0104519 0.0104240 0.0105555 0.0113085 0.0108430 0.0112613 0.0112810 0.0107617 0.0109787 0.0109794 0.0117045 0.0111714 0.0109554 0.0109447 0.0112912 0.0108995 0.0110744 0.0111746 0.0104723 0.0111049 0.0108127 0.0107680 0.0109365 0.0112290
0.0137321 0.0139392 0.0155487 0.0146807 0.0110388 0.0109816 0.0111508 0.0111383 0.0110601 0.0106559 0.0113758 0.0110057 0.0108954 0.0108122 0.0110795 0.0109848 0.0109495 0.0109814 0.0104351 0.0109664 0.0104944 0.0112022 0.0107201 0.0111378 0.0111080 0.0107450 0.0111980 0.0113009 0.0104487 0.0109538 0.0108409 0.0110082 0.0110062 0.0105694 0.0111454 0.0106634 0.0106933 0.0109146 0.0103993 0.0113880 0.0111129 0.0107648 0.0109056 0.0112080 0.0110654 0.0109557 0.0113239 0.0109059 0.0109324 0.0110568 0.0109881 0.0106973 0.0105576 0.0112514 0.0119369 0.0105314 0.0106888 0.0109171 0.0110459 0.0104720 0.0109744 0.0113442 0.0107760 0.0106257 0.0108695 0.0113588 0.0104519 0.0104240 0.0105555 0.0113085 0.0108430 0.0112613 0.0112810 0.0107617 0.0109787 0.0109794 0.0117045 0.0111714 0.0109554 0.0109447 0.0112912 0.0108995 0.0110744 0.0111746 0.0104723 0.0111049 0.0108127 0.0107680 0.0109365 0.0112290
0.1749362 0.1748689 0.0263981 0.0268656 0.0068664 0.0067338 0.0070539 0.0069426 0.0067567 0.0065948 0.0072017 0.0065276 0.0066192 0.0069052 0.0070199 0.0071493 0.0075368 0.0071467 0.0068688 0.0070560 0.0068332 0.0070199 0.0065680 0.0071875 0.0070173 0.0069323 0.0069107 0.0068584 0.0069925 0.0065564 0.0071028 0.0067933 0.0068634 0.0070949 0.0069804 0.0071212 0.0068282 0.0064823 0.0071564 0.0073342 0.0072774 0.0068961 0.0073947 0.0071044 0.0070153 0.0067262 0.0069089 0.0070682 0.0071412 0.0071972 0.0071205 0.0069559 0.0065538 0.0068651 0.0067797 0.0069467 0.0070373 0.0068357 0.0066106 0.0069541 0.0068987 0.0069719 0.0070403 0.0067631 0.0069437 0.0067696 0.0067709 0.0068923 0.0074239 0.0069633 0.0067229 0.0069798 0.0071020 0.0068566 0.0069492 0.0073053 0.0068500 0.0070066 0.0069452 0.0067997 0.0069723 0.0071058 0.0068011 0.0068582 0.0069118 0.0071137 0.0067277 0.0070455 0.0067532 0.0066850
0.1660168 0.1661499 0.0314290 0.0308711 0.0070952 0.0070584 0.0071672 0.0071591 0.0071089 0.0068491 0.0073118 0.0070739 0.0070030 0.0069495 0.0071214 0.0070605 0.0070378 0.0070583 0.0067071 0.0070486 0.0067452 0.0072002 0.0068904 0.0071588 0.0071397 0.0069063 0.0071975 0.0072637 0.0067159 0.0070406 0.0069680 0.0070755 0.0070742 0.0067934 0.0071637 0.0068539 0.0068731 0.0070154 0.0066841 0.0073196 0.0071428 0.0069191 0.0070096 0.0072039 0.0071123 0.0070418 0.0072784 0.0070097 0.0070268 0.0071067 0.0070626 0.0068757 0.0067859 0.0072318 0.0076724 0.0067690 0.0068702 0.0070170 0.0070998 0.0067309 0.0070537 0.0072915 0.0069262 0.0068296 0.0069863 0.0073008 0.0067179 0.0067000 0.0067845 0.0072685 0.0069693 0.0072382 0.0072508 0.0069171 0.0070566 0.0070570 0.0075230 0.0071804 0.0070415 0.0070347 0.0072574 0.0070057 0.0071180 0.0071824 0.0067311 0.0071377 0.0069499 0.0069211 0.0070294 0.0072174
0.2031454 0.2030850 0.0288102 0.0292298 0.0061624 0.0060434 0.0063307 0.0062308 0.0060639 0.0059186 0.0064634 0.0058584 0.0059406 0.0061973 0.0063001 0.0064163 0.0067640 0.0064140 0.0061646 0.0063325 0.0061326 0.0063002 0.0058946 0.0064506 0.0062978 0.0062215 0.0062021 0.0061553 0.0062756 0.0058842 0.0063746 0.0060968 0.0061597 0.0063675 0.0062647 0.0063911 0.0061281 0.0058177 0.0064227 0.0065822 0.0065312 0.0061891 0.0066365 0.0063760 0.0062961 0.0060366 0.0062006 0.0063435 0.0064090 0.0064593 0.0063905 0.0062428 0.0058819 0.0061612 0.0060846 0.0062344 0.0063158 0.0061349 0.0059329 0.0062411 0.0061914 0.0062571 0.0063185 0.0060697 0.0062318 0.0060755 0.0060767 0.0061857 0.0066627 0.0062494 0.0060336 0.0062642 0.0063739 0.0061536 0.0062367 0.0065563 0.0061477 0.0062882 0.0062332 0.0061026 0.0062575 0.0063772 0.0061038 0.0061551 0.0062031 0.0063844 0.0060379 0.0063232 0.0060609 0.0059996
0.1825814 0.1827059 0.0342865 0.0337644 0.0066397 0.0066053 0.0067071 0.0066995 0.0066525 0.0064094 0.0068424 0.0066198 0.0065535 0.0065034 0.0066642 0.0066072 0.0065860 0.0066052 0.0062766 0.0065962 0.0063122 0.0067380 0.0064480 0.0066993 0.0066813 0.0064630 0.0067355 0.0067974 0.0062848 0.0065886 0.0065207 0.0066213 0.0066201 0.0063573 0.0067038 0.0064139 0.0064319 0.0065650 0.0062550 0.0068497 0.0066843 0.0064749 0.0065596 0.0067415 0.0066557 0.0065898 0.0068112 0.0065598 0.0065757 0.0066505 0.0066092 0.0064343 0.0063503 0.0067676 0.0071799 0.0063345 0.0064292 0.0065665 0.0066440 0.0062988 0.0066009 0.0068234 0.0064816 0.0063912 0.0065379 0.0068322 0.0062867 0.0062699 0.0063490 0.0068019 0.0065219 0.0067735 0.0067854 0.0064730 0.0066036 0.0066040 0.0070401 0.0067195 0.0065895 0.0065831 0.0067915 0.0065559 0.0066611 0.0067214 0.0062990 0.0066795 0.0065037 0.0064768 0.0065782 0.0067541
0.2002905 0.2002305 0.0332154 0.0336326 0.0061267 0.0060084 0.0062941 0.0061947 0.0060289 0.0058844 0.0064260 0.0058245 0.0059062 0.0061614 0.0062637 0.0063792 0.0067249 0.0063769 0.0061289 0.0062959 0.0060971 0.0062637 0.0058605 0.0064133 0.0062614 0.0061855 0.0061663 0.0061197 0.0062393 0.0058502 0.0063377 0.0060615 0.0061241 0.0063307 0.0062285 0.0063541 0.0060927 0.0057840 0.0063856 0.0065442 0.0064935 0.0061533 0.0065982 0.0063391 0.0062597 0.0060017 0.0061647 0.0063069 0.0063719 0.0064220 0.0063535 0.0062067 0.0058479 0.0061256 0.0060494 0.0061984 0.0062792 0.0060994 0.0058986 0.0062050 0.0061556 0.0062209 0.0062819 0.0060346 0.0061958 0.0060404 0.0060415 0.0061499 0.0066242 0.0062133 0.0059987 0.0062280 0.0063370 0.0061180 0.0062006 0.0065184 0.0061122 0.0062519 0.0061971 0.0060673 0.0062213 0.0063404 0.0060685 0.0061195 0.0061672 0.0063475 0.0060030 0.0062866 0.0060258 0.0059649
0.2615211 0.2611205 0.0433785 0.0437121 0.0044050 0.0047097 0.0045896 0.0045300 0.0045392 0.0044602 0.0045333 0.0047768 0.0045308 0.0044557 0.0045520 0.0045182 0.0044930 0.0046194 0.0046466 0.0044985 0.0045654 0.0044015 0.0043674 0.0046908 0.0045334 0.0045976 0.0045425 0.0044697 0.0044308 0.0045843 0.0043694 0.0047364 0.0046269 0.0046645 0.0045796 0.0043626 0.0046385 0.0048014 0.0045281 0.0044372 0.0045163 0.0045172 0.0044307 0.0044280 0.0042361 0.0047874 0.0046050 0.0046221 0.0046645 0.0043107 0.0047602 0.0042506 0.0044329 0.0045721 0.0046117 0.0046584 0.0042379 0.0044900 0.0045428 0.0044240 0.0045435 0.0050516 0.0046652 0.0044439 0.0046484 0.0045383 0.0045139 0.0044790 0.0043197 0.0046017 0.0046119 0.0046547 0.0046027 0.0046382 0.0044173 0.0045639 0.0045324 0.0045056 0.0044495 0.0045877 0.0045709 0.0044645 0.0044969 0.0044702 0.0044812 0.0042401 0.0047622 0.0046389 0.0043760 0.0045129
0.1959390 0.1960542 0.0421238 0.0416408 0.0061427 0.0061108 0.0062050 0.0061980 0.0061545 0.0059296 0.0063302 0.0061243 0.0060629 0.0060166 0.0061653 0.0061126 0.0060930 0.0061107 0.0058067 0.0061024 0.0058397 0.0062336 0.0059654 0.0061978 0.0061812 0.0059792 0.0062313 0.0062885 0.0058143 0.0060954 0.0060325 0.0061256 0.0061245 0.0058814 0.0062020 0.0059338 0.0059504 0.0060736 0.0057868 0.0063370 0.0061839 0.0059902 0.0060686 0.0062368 0.0061575 0.0060965 0.0063013 0.0060687 0.0060834 0.0061527 0.0061145 0.0059526 0.0058749 0.0062610 0.0066424 0.0058603 0.0059479 0.0060750 0.0061466 0.0058273 0.0061068 0.0063126 0.0059964 0.0059128 0.0060484 0.0063207 0.0058161 0.0058005 0.0058737 0.0062928 0.0060337 0.0062665 0.0062774 0.0059885 0.0061092 0.0061096 0.0065131 0.0062164 0.0060962 0.0060903 0.0062831 0.0060652 0.0061625 0.0062182 0.0058275 0.0061795 0.0060169 0.0059920 0.0060858 0.0062485
0.1947481 0.1946881 0.0386116 0.0390290 0.0061301 0.0060117 0.0062976 0.0061981 0.0060322 0.0058876 0.0064295 0.0058277 0.0059094 0.0061648 0.0062671 0.0063827 0.0067286 0.0063804 0.0061323 0.0062994 0.0061005 0.0062672 0.0058637 0.0064168 0.0062648 0.0061889 0.0061697 0.0061230 0.0062427 0.0058534 0.0063412 0.0060648 0.0061275 0.0063342 0.0062319 0.0063576 0.0060960 0.0057872 0.0063891 0.0065478 0.0064970 0.0061566 0.0066018 0.0063426 0.0062631 0.0060050 0.0061681 0.0063103 0.0063754 0.0064255 0.0063570 0.0062101 0.0058511 0.0061290 0.0060527 0.0062018 0.0062827 0.0061027 0.0059018 0.0062084 0.0061589 0.0062243 0.0062854 0.0060379 0.0061991 0.0060437 0.0060448 0.0061532 0.0066278 0.0062167 0.0060020 0.0062314 0.0063405 0.0061214 0.0062040 0.0065220 0.0061155 0.0062553 0.0062005 0.0060706 0.0062247 0.0063438 0.0060718 0.0061228 0.0061706 0.0063509 0.0060063 0.0062900 0.0060291 0.0059682
0.2796970 0.2793377 0.0453283 0.0456275 0.0039506 0.0042239 0.0041161 0.0040627 0.0040710 0.0040001 0.0040656 0.0042841 0.0040634 0.0039961 0.0040825 0.0040522 0.0040295 0.0041429 0.0041673 0.0040344 0.0040945 0.0039475 0.0039169 0.0042069 0.0040657 0.0041233 0.0040739 0.0040086 0.0039737 0.0041114 0.0039187 0.0042478 0.0041496 0.0041833 0.0041072 0.0039126 0.0041600 0.0043061 0.0040610 0.0039795 0.0040504 0.0040512 0.0039736 0.0039713 0.0037991 0.0042936 0.0041299 0.0041453 0.0041834 0.0038660 0.0042692 0.0038121 0.0039757 0.0041005 0.0041360 0.0041778 0.0038008 0.0040269 0.0040742 0.0039676 0.0040748 0.0045305 0.0041839 0.0039855 0.0041689 0.0040701 0.0040483 0.0040170 0.0038741 0.0041270 0.0041361 0.0041745 0.0041279 0.0041597 0.0039616 0.0040931 0.0040649 0.0040408 0.0039905 0.0041145 0.0040994 0.0040040 0.0040330 0.0040090 0.0040190 0.0038027 0.0042709 0.0041603 0.0039246 0.0040474
0.2425550 0.2426495 0.0427830 0.0423872 0.0050340 0.0050079 0.0050851 0.0050794 0.0050437 0.0048594 0.0051877 0.0050189 0.0049686 0.0049307 0.0050526 0.0050094 0.0049933 0.0050078 0.0047587 0.0050010 0.0047857 0.0051085 0.0048887 0.0050792 0.0050656 0.0049000 0.0051066 0.0051536 0.0047649 0.0049953 0.0049438 0.0050201 0.0050192 0.0048199 0.0050826 0.0048628 0.0048764 0.0049774 0.0047424 0.0051933 0.0050678 0.0049091 0.0049733 0.0051112 0.0050461 0.0049961 0.0051640 0.0049734 0.0049855 0.0050422 0.0050109 0.0048783 0.0048146 0.0051310 0.0054436 0.0048026 0.0048744 0.0049785 0.0050373 0.0047755 0.0050046 0.0051733 0.0049142 0.0048456 0.0049568 0.0051799 0.0047664 0.0047536 0.0048136 0.0051570 0.0049447 0.0051355 0.0051445 0.0049076 0.0050066 0.0050069 0.0053376 0.0050945 0.0049960 0.0049911 0.0051491 0.0049705 0.0050502 0.0050959 0.0047757 0.0050642 0.0049309 0.0049105 0.0049874 0.0051208
0.2404959 0.2405913 0.0425380 0.0421379 0.0050880 0.0050617 0.0051397 0.0051339 0.0050979 0.0049116 0.0052434 0.0050728 0.0050220 0.0049836 0.0051068 0.0050632 0.0050469 0.0050616 0.0048098 0.0050547 0.0048371 0.0051634 0.0049412 0.0051337 0.0051200 0.0049526 0.0051615 0.0052089 0.0048161 0.0050489 0.0049968 0.0050740 0.0050730 0.0048717 0.0051372 0.0049150 0.0049288 0.0050308 0.0047933 0.0052490 0.0051222 0.0049618 0.0050267 0.0051660 0.0051003 0.0050498 0.0052195 0.0050268 0.0050390 0.0050964 0.0050647 0.0049306 0.0048662 0.0051860 0.0055020 0.0048542 0.0049267 0.0050320 0.0050913 0.0048268 0.0050584 0.0052288 0.0049669 0.0048976 0.0050100 0.0052355 0.0048175 0.0048047 0.0048653 0.0052124 0.0049978 0.0051906 0.0051997 0.0049603 0.0050604 0.0050607 0.0053949 0.0051492 0.0050496 0.0050447 0.0052044 0.0050239 0.0051044 0.0051506 0.0048270 0.0051185 0.0049839 0.0049632 0.0050409 0.0051757
0.2379175 0.2380142 0.0422311 0.0418257 0.0051557 0.0051290 0.0052080 0.0052022 0.0051657 0.0049769 0.0053131 0.0051403 0.0050887 0.0050499 0.0051747 0.0051305 0.0051140 0.0051289 0.0048738 0.0051219 0.0049014 0.0052320 0.0050069 0.0052020 0.0051880 0.0050185 0.0052301 0.0052782 0.0048801 0.0051160 0.0050633 0.0051414 0.0051405 0.0049365 0.0052055 0.0049804 0.0049943 0.0050977 0.0048570 0.0053188 0.0051903 0.0050278 0.0050935 0.0052347 0.0051681 0.0051169 0.0052889 0.0050936 0.0051060 0.0051641 0.0051320 0.0049962 0.0049310 0.0052550 0.0055752 0.0049187 0.0049922 0.0050989 0.0051590 0.0048910 0.0051256 0.0052984 0.0050330 0.0049628 0.0050766 0.0053052 0.0048816 0.0048686 0.0049300 0.0052817 0.0050643 0.0052596 0.0052688 0.0050263 0.0051277 0.0051280 0.0054666 0.0052176 0.0051167 0.0051118 0.0052736 0.0050907 0.0051723 0.0052191 0.0048912 0.0051866 0.0050501 0.0050293 0.0051080 0.0052446
